category,main_common_name,code,name,year
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2012
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2013
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2014
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2015
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2016
Vulnerable,"Elegant Spider-orchid, Blood-red Spider-orchid",VU,Caladenia formosa,2017
Critically Endangered,,CR,Banksia serratuloides perissa,2013
Critically Endangered,,CR,Banksia serratuloides perissa,2014
Critically Endangered,,CR,Banksia serratuloides perissa,2015
Critically Endangered,,CR,Banksia serratuloides perissa,2016
Critically Endangered,,CR,Banksia serratuloides perissa,2017
Extinct,Water Tassel-fern,EX,Huperzia serrata,2000
Extinct,Water Tassel-fern,EX,Huperzia serrata,2001
Extinct,Water Tassel-fern,EX,Huperzia serrata,2002
Extinct,Water Tassel-fern,EX,Huperzia serrata,2003
Extinct,Water Tassel-fern,EX,Huperzia serrata,2004
Extinct,Water Tassel-fern,EX,Huperzia serrata,2005
Extinct,Water Tassel-fern,EX,Huperzia serrata,2006
Extinct,Water Tassel-fern,EX,Huperzia serrata,2007
Extinct,Water Tassel-fern,EX,Huperzia serrata,2008
Extinct,Water Tassel-fern,EX,Huperzia serrata,2009
Extinct,Water Tassel-fern,EX,Huperzia serrata,2010
Extinct,Water Tassel-fern,EX,Huperzia serrata,2011
Extinct,Water Tassel-fern,EX,Huperzia serrata,2012
Extinct,Water Tassel-fern,EX,Huperzia serrata,2013
Extinct,Water Tassel-fern,EX,Huperzia serrata,2014
Extinct,Water Tassel-fern,EX,Huperzia serrata,2015
Extinct,Water Tassel-fern,EX,Huperzia serrata,2016
Extinct,Water Tassel-fern,EX,Huperzia serrata,2017
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2006
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2007
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2008
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2009
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2010
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2011
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2012
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2013
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2014
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2015
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2016
Endangered,Mount Compass Swamp Gum,EN,Eucalyptus paludicola,2017
Vulnerable, ,VU,Logania diffusa,2000
Vulnerable, ,VU,Logania diffusa,2001
Vulnerable, ,VU,Logania diffusa,2002
Vulnerable, ,VU,Logania diffusa,2003
Vulnerable, ,VU,Logania diffusa,2004
Vulnerable, ,VU,Logania diffusa,2005
Vulnerable, ,VU,Logania diffusa,2006
Vulnerable, ,VU,Logania diffusa,2007
Vulnerable, ,VU,Logania diffusa,2008
Vulnerable, ,VU,Logania diffusa,2009
Vulnerable, ,VU,Logania diffusa,2010
Vulnerable, ,VU,Logania diffusa,2011
Vulnerable, ,VU,Logania diffusa,2012
Vulnerable, ,VU,Logania diffusa,2013
Vulnerable, ,VU,Logania diffusa,2014
Vulnerable, ,VU,Logania diffusa,2015
Vulnerable, ,VU,Logania diffusa,2016
Vulnerable, ,VU,Logania diffusa,2017
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2000
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2001
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2002
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2003
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2004
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2005
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2006
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2007
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2008
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2009
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2010
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2011
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2012
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2013
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2014
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2015
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2016
Endangered,Bancrofts Symonanthus,EN,Symonanthus bancroftii,2017
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2000
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2001
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2002
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2003
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2004
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2005
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2006
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2007
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2008
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2009
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2010
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2011
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2012
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2013
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2014
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2015
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2016
Vulnerable,Three-veined Hakea,VU,Hakea trineura,2017
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2000
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2001
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2002
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2003
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2004
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2005
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2006
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2007
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2008
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2009
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2010
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2011
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2012
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2013
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2014
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2015
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2016
Vulnerable,Dense Cord-rush,VU,Baloskion longipes,2017
Critically Endangered,Acacia purpureopetala,CR,Acacia purpureopetala,2014
Critically Endangered,Acacia purpureopetala,CR,Acacia purpureopetala,2015
Critically Endangered,Acacia purpureopetala,CR,Acacia purpureopetala,2016
Critically Endangered,Acacia purpureopetala,CR,Acacia purpureopetala,2017
Critically Endangered,Muelleranthus crenulatus,CR,Muelleranthus crenulatus,2013
Critically Endangered,Muelleranthus crenulatus,CR,Muelleranthus crenulatus,2014
Critically Endangered,Muelleranthus crenulatus,CR,Muelleranthus crenulatus,2015
Critically Endangered,Muelleranthus crenulatus,CR,Muelleranthus crenulatus,2016
Critically Endangered,Muelleranthus crenulatus,CR,Muelleranthus crenulatus,2017
Endangered, ,EN,Triplarina imbricata,2000
Endangered, ,EN,Triplarina imbricata,2001
Endangered, ,EN,Triplarina imbricata,2002
Endangered, ,EN,Triplarina imbricata,2003
Endangered, ,EN,Triplarina imbricata,2004
Endangered, ,EN,Triplarina imbricata,2005
Endangered, ,EN,Triplarina imbricata,2006
Endangered, ,EN,Triplarina imbricata,2007
Endangered, ,EN,Triplarina imbricata,2008
Endangered, ,EN,Triplarina imbricata,2009
Endangered, ,EN,Triplarina imbricata,2010
Endangered, ,EN,Triplarina imbricata,2011
Endangered, ,EN,Triplarina imbricata,2012
Endangered, ,EN,Triplarina imbricata,2013
Endangered, ,EN,Triplarina imbricata,2014
Endangered, ,EN,Triplarina imbricata,2015
Endangered, ,EN,Triplarina imbricata,2016
Endangered, ,EN,Triplarina imbricata,2017
Vulnerable,,VU,Hypocalymma longifolium,2013
Vulnerable,,VU,Hypocalymma longifolium,2014
Vulnerable,,VU,Hypocalymma longifolium,2015
Vulnerable,,VU,Hypocalymma longifolium,2016
Vulnerable,,VU,Hypocalymma longifolium,2017
Vulnerable, ,VU,Lobelia gelida,2000
Vulnerable, ,VU,Lobelia gelida,2001
Vulnerable, ,VU,Lobelia gelida,2002
Vulnerable, ,VU,Lobelia gelida,2003
Vulnerable, ,VU,Lobelia gelida,2004
Vulnerable, ,VU,Lobelia gelida,2005
Vulnerable, ,VU,Lobelia gelida,2006
Vulnerable, ,VU,Lobelia gelida,2007
Vulnerable, ,VU,Lobelia gelida,2008
Vulnerable, ,VU,Lobelia gelida,2009
Vulnerable, ,VU,Lobelia gelida,2010
Vulnerable, ,VU,Lobelia gelida,2011
Vulnerable, ,VU,Lobelia gelida,2012
Vulnerable, ,VU,Lobelia gelida,2013
Vulnerable, ,VU,Lobelia gelida,2014
Vulnerable, ,VU,Lobelia gelida,2015
Vulnerable, ,VU,Lobelia gelida,2016
Vulnerable, ,VU,Lobelia gelida,2017
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2000
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2001
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2002
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2003
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2004
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2005
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2006
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2007
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2008
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2009
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2010
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2011
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2012
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2013
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2014
Vulnerable,Mt Augustus Foxglove,VU,Pityrodia augustensis,2015
