name,main_common_name,category,year,code
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,2000,VU
Brachyscome muelleri,Corunna Daisy,Endangered,2000,EN
Brachyscome muelleroides,Mueller Daisy,Vulnerable,2000,VU
Brachyscome papillosa,Mossgiel Daisy,Vulnerable,2000,VU
Budawangia gnidioides,Budawangs Cliff-heath,Vulnerable,2000,VU
Bulbophyllum globuliforme,"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,2000,VU
Bulbophyllum gracillimum,Wispy Umbrella Orchid,Vulnerable,2000,VU
Bulbophyllum longiflorum,pale umbrella orchid,Vulnerable,2000,VU
Burmannia sp. Bathurst Island (R.Fensham 1021), ,Endangered,2000,EN
Burramys parvus,Mountain Pygmy-possum,Endangered,2000,EN
Cadellia pentastylis,Ooline,Vulnerable,2000,VU
Cajanus mareebensis, ,Endangered,2000,EN
Caladenia amoena,Charming Spider-orchid,Endangered,2000,EN
Caladenia arenaria,Sand-hill Spider-orchid,Endangered,2000,EN
Caladenia argocalla,White-beauty Spider-orchid,Endangered,2000,EN
Caladenia atroclavia,Black-clubbed Spider-orchid,Endangered,2000,EN
Caladenia audasii,"McIvor Spider-orchid, Audas Spider-orchid",Endangered,2000,EN
Caladenia behrii,Pink-lipped Spider-orchid,Endangered,2000,EN
Caladenia brachyscapa,Short Spider-orchid,Extinct,2000,EX
Caladenia brumalis,Winter Spider-orchid,Vulnerable,2000,VU
Caladenia bryceana subsp. bryceana,Dwarf Spider-orchid,Endangered,2000,EN
Caladenia bryceana subsp. cracens,Northern Dwarf Spider-orchid,Vulnerable,2000,VU
Caladenia busselliana,Bussell's Spider-orchid,Endangered,2000,EN
Caladenia caesarea subsp. maritima,Cape Spider-orchid,Endangered,2000,EN
Caladenia calcicola,Limestone Spider-orchid,Vulnerable,2000,VU
Caladenia caudata,Tailed Spider-orchid,Vulnerable,2000,VU
Caladenia christineae,Christine's Spider Orchid,Vulnerable,2000,VU
Caladenia colorata,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,2000,EN
Caladenia concolor,"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,2000,VU
Caladenia dienema,Windswept Spider-orchid,Endangered,2000,EN
Caladenia dorrienii,Cossack Spider-orchid,Endangered,2000,EN
Caladenia drakeoides,Hinged Dragon Orchid,Endangered,2000,EN
Caladenia elegans,Elegant Spider-orchid,Endangered,2000,EN
Caladenia excelsa,Giant Spider-orchid,Endangered,2000,EN
Caladenia formosa,"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,2000,VU
Caladenia fulva,Tawny Spider-orchid,Endangered,2000,EN
Caladenia gladiolata,"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,2000,EN
Caladenia harringtoniae,"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,2000,VU
Caladenia hastata,Melblom's Spider-orchid,Endangered,2000,EN
Caladenia hoffmanii,Hoffman's Spider-orchid,Endangered,2000,EN
Caladenia huegelii,"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,2000,EN
Caladenia insularis,French Island Spider-orchid,Vulnerable,2000,VU
Caladenia lowanensis,Wimmera Spider-orchid,Endangered,2000,EN
Caladenia macroclavia,Large-club Spider-orchid,Endangered,2000,EN
Caladenia orientalis,Eastern Spider Orchid,Endangered,2000,EN
Caladenia ornata,Ornate Pink Fingers,Vulnerable,2000,VU
Caladenia ovata,Kangaroo Island Spider-orchid,Vulnerable,2000,VU
Caladenia richardsiorum,Little Dip Spider-orchid,Endangered,2000,EN
Caladenia rigida,Stiff White Spider-orchid,Endangered,2000,EN
Caladenia robinsonii,Frankston Spider-orchid,Endangered,2000,EN
Caladenia rosella,"Rosella Spider-orchid, Little Pink Spider-orchid",Endangered,2000,EN
Caladenia tensa,"Greencomb Spider-orchid, Rigid Spider-orchid",Endangered,2000,EN
Caladenia tessellata,"Thick-lipped Spider-orchid, Daddy Long-legs",Vulnerable,2000,VU
Caladenia thysanochila,Fringed Spider-orchid,Endangered,2000,EN
Caladenia versicolor,Candy Spider-orchid,Vulnerable,2000,VU
Caladenia viridescens,Dunsborough Spider-orchid,Endangered,2000,EN
Caladenia wanosa,Kalbarri Spider-orchid,Vulnerable,2000,VU
Caladenia winfieldii,Majestic Spider-orchid,Endangered,2000,EN
Caladenia woolcockiorum,Woolcock's Spider-orchid,Vulnerable,2000,VU
Caladenia xanthochila,Yellow-lip Spider-orchid,Endangered,2000,EN
Caladenia xantholeuca,"White Rabbits, Flinders Ranges White Caladenia",Endangered,2000,EN
Calectasia pignattiana,Stilted Tinsel Lily,Vulnerable,2000,VU
Callistemon forresterae,Forrester's Bottlebrush,Vulnerable,2000,VU
Callistemon kenmorrisonii,Betka Bottlebrush,Vulnerable,2000,VU
Callistemon pungens, ,Vulnerable,2000,VU
Callitris oblonga,"Pygmy Cypress-pine, Pigmy Cypress-pine, Dwarf Cypress-pine",Vulnerable,2000,VU
Callitris oblonga subsp. oblonga,South Esk Pine,Endangered,2000,EN
Calochilus psednus,Cardwell Beard Orchid,Endangered,2000,EN
Calochilus richiae,Bald-tip Beard-orchid,Endangered,2000,EN
Calophyllum bicolor, ,Vulnerable,2000,VU
Caloprymnus campestris,Desert Rat-kangaroo,Extinct,2000,EX
Calotis glandulosa,Mauve Burr-daisy,Vulnerable,2000,VU
Calotis moorei,Moore's Burr-daisy,Endangered,2000,EN
Calyptorhynchus banksii graptogyne,Red-tailed Black-Cockatoo (south-eastern),Endangered,2000,EN
Calyptorhynchus lathami halmaturinus,"Glossy Black-Cockatoo (Kangaroo Island), Glossy Black-Cockatoo (South Australian)",Endangered,2000,EN
Calyptorhynchus latirostris,"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,2000,EN
Calytrix breviseta subsp. breviseta,Swamp Starflower,Endangered,2000,EN
Calytrix gurulmundensis, ,Vulnerable,2000,VU
Canarium acutifolium, ,Vulnerable,2000,VU
Capparis thozetiana, ,Vulnerable,2000,VU
Carcharodon carcharias,"White Shark, Great White Shark",Vulnerable,2000,VU
Caretta caretta,Loggerhead Turtle,Endangered,2000,EN
Carronia pedicellata, ,Endangered,2000,EN
Cassinia rugata,"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,2000,VU
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,2000,EN
Cepobaculum carronii,an orchid,Vulnerable,2000,VU
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,2000,VU
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,2000,EX
Chamelaucium sp. Cataby (G.J.Keighery 11009),Griffin's Waxflower,Vulnerable,2000,VU
Chamelaucium sp. Gingin (N.G.Marchant 6),Gingin Wax,Endangered,2000,EN
Chamelaucium sp. S coastal plain (R.D.Royce 4872),Royce's Waxflower,Vulnerable,2000,VU
Cheiranthera volubilis,Twining Finger Flower,Vulnerable,2000,VU
Chelonia mydas,Green Turtle,Vulnerable,2000,VU
Chingia australis, ,Endangered,2000,EN
Chlamydogobius micropterus,Elizabeth Springs Goby,Endangered,2000,EN
Chlamydogobius squamigenus,Edgbaston Goby,Vulnerable,2000,VU
Chordifex abortivus,Manypeaks Rush,Endangered,2000,EN
Chorizema humile,Prostrate Flame Pea,Endangered,2000,EN
Chorizema varium,Limestone Pea,Endangered,2000,EN
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",Vulnerable,2000,VU
Clematis fawcettii,Stream Clematis,Vulnerable,2000,VU
Codonocarpus pyramidalis,"Slender Bell-fruit, Camel Poison",Vulnerable,2000,VU
Coleanthera virgata,Hidden Coleanthera,Extinct,2000,EX
Colobanthus curtisiae,Curtis' Colobanth,Vulnerable,2000,VU
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,2000,EX
Comesperma oblongatum,Byfield Matchstick,Vulnerable,2000,VU
Commersonia erythrogyna,Trigwell's Rulingia,Endangered,2000,EN
